Purchase_Order_Number,CapChem_Vendor_ID,CapChem_Vendor_Name,CapChem_Raw_Material_ID,CapChem_Raw_Material_Name,CapChem_Raw_Material_Category,Quantity,Unit_Price_Of_RM,Total_Amount,Purchase_Order_Date
PO202207086,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.2,208217,249861,02/06/22
PO202200837,V006,Navin Corp,RM0002,Urea,Nitrogen,9.5,1162262,11041489,03/06/22
PO202207087,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.18,208217,453914,03/06/22
PO202206102,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.14,70960,80895,03/06/22
PO202203140,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.16,2388775,2770979,03/06/22
PO202202339,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,8.09,1497758,12116863,03/06/22
PO202208394,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,3.59,215773,774626,03/06/22
PO202204538,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.59,210508,124200,03/06/22
PO202204815,V013,Beijing Corp,RM0008,Iron,Micronutrient,5.21,6664,34720,03/06/22
PO202204807,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.46,6664,16394,03/06/22
PO202200840,V006,Navin Corp,RM0002,Urea,Nitrogen,11.2,1162262,13017335,03/06/22
PO202203134,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,7.85,2388775,18751884,03/06/22
PO202200049,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,13.07,1400800,18308456,03/06/22
PO202208393,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,15.98,191798,3064933,03/06/22
PO202208390,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,11.14,191798,2136630,03/06/22
PO202200052,V001,Jubair Corp,RM0001,Ammonia,Nitrogen,27.75,1456832,40427088,03/06/22
PO202201616,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,0.64,1224529,783699,03/06/22
PO202205703,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.92,99704,91728,03/06/22
PO202200852,V001,Jubair Corp,RM0002,Urea,Nitrogen,8.74,1373583,12005116,04/06/22
PO202200062,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,2.14,1400800,2997712,04/06/22
PO202207673,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.33,181195,240990,04/06/22
PO202203837,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,2.09,1814648,3792615,04/06/22
PO202204814,V013,Beijing Corp,RM0008,Iron,Micronutrient,1.91,6664,12729,05/06/22
PO202200850,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,6.52,1056602,6889046,05/06/22
PO202204540,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.83,210508,174722,05/06/22
PO202205708,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.95,99704,94719,05/06/22
PO202204821,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,1.39,9995,13894,06/06/22
PO202208400,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,5.28,215773,1139282,06/06/22
PO202207655,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,4.32,181195,782763,06/06/22
PO202200830,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,5.22,1056602,5515463,06/06/22
PO202200054,V006,Navin Corp,RM0001,Ammonia,Nitrogen,31.28,1232704,38558982,06/06/22
PO202202332,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,24.37,1386813,33796633,06/06/22
PO202207656,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,3.14,181195,568953,06/06/22
PO202202345,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,42.6,1386813,59078234,06/06/22
PO202207079,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.44,208217,299833,06/06/22
PO202207084,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,3.24,208217,674624,06/06/22
PO202208398,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,11.66,191798,2236365,06/06/22
PO202207085,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.89,208217,393531,06/06/22
PO202200847,V006,Navin Corp,RM0002,Urea,Nitrogen,3.7,1162262,4300370,06/06/22
PO202206564,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.18,27538,32495,06/06/22
PO202200051,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,9.25,1120640,10365920,07/06/22
PO202200058,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,15.98,1176672,18803219,07/06/22
PO202208401,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,4.58,191798,878435,07/06/22
PO202200836,V001,Jubair Corp,RM0002,Urea,Nitrogen,2.46,1373583,3379015,07/06/22
PO202205702,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.99,99704,98707,07/06/22
PO202203146,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,0.95,2388775,2269337,07/06/22
PO202208403,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,1.03,215773,222247,07/06/22
PO202203843,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,5.99,1814648,10869742,07/06/22
PO202202341,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,24.03,1109451,26660108,07/06/22
PO202203131,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,6.68,2388775,15957017,07/06/22
PO202205421,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.53,10994,5827,07/06/22
PO202206567,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.27,27538,34974,07/06/22
PO202204805,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,2.8,9995,27986,08/06/22
PO202200064,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,0.57,1400800,798456,08/06/22
PO202200853,V001,Jubair Corp,RM0002,Urea,Nitrogen,2.65,1373583,3639995,08/06/22
PO202203137,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.18,2388775,9985080,08/06/22
PO202207674,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,0.67,181195,121401,08/06/22
PO202206098,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.45,70960,102892,08/06/22
PO202206096,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.19,70960,84443,08/06/22
PO202201603,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,1.19,1224529,1457190,08/06/22
PO202201597,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,2.98,1224529,3649097,09/06/22
PO202201596,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,6.85,1224529,8388024,09/06/22
PO202207662,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,10.34,286097,2958243,09/06/22
PO202206100,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.1,70960,78056,09/06/22
PO202208396,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,9.68,191798,1856605,09/06/22
PO202205710,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.79,99704,78767,09/06/22
PO202201607,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,2.61,1224529,3196021,09/06/22
PO202203842,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,7.37,1465677,10802040,09/06/22
PO202202349,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,1.11,1386813,1539363,09/06/22
PO202202348,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,5.71,1497758,8552199,10/06/22
PO202200046,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,18.97,1120640,21258541,10/06/22
PO202207080,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.42,208217,503886,10/06/22
PO202203851,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,7.32,1465677,10728756,10/06/22
PO202200843,V001,Jubair Corp,RM0002,Urea,Nitrogen,1.97,1373583,2705959,10/06/22
PO202207672,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,3.45,286097,987035,10/06/22
PO202200050,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,20.39,1176672,23992343,10/06/22
PO202203836,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,8.47,1814648,15370069,10/06/22
PO202203839,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,6.09,1814648,11051207,11/06/22
PO202203844,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,8.73,1465677,12795361,11/06/22
PO202205709,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.98,99704,97710,11/06/22
PO202203847,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,5.48,1465677,8031910,11/06/22
PO202203850,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,7.9,1465677,11578849,11/06/22
PO202207075,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.19,208217,247779,11/06/22
PO202205705,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.99,99704,98707,11/06/22
PO202208386,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,14.97,215773,3230122,11/06/22
PO202203142,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.97,2388775,4705887,11/06/22
PO202204820,V013,Beijing Corp,RM0008,Iron,Micronutrient,5.34,6664,35586,11/06/22
PO202206563,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.81,27538,49844,12/06/22
PO202201606,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,4.37,1224529,5351192,12/06/22
PO202205423,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.84,10994,9235,12/06/22
PO202208404,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,1,215773,215773,13/06/22
PO202207654,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.35,181195,1150589,13/06/22
PO202206097,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1,70960,70960,13/06/22
PO202206566,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.23,27538,33872,13/06/22
PO202205707,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.99,99704,98707,13/06/22
PO202201615,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,3.88,1271627,4933913,13/06/22
PO202201600,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,2,1271627,2543254,13/06/22
PO202204808,V013,Beijing Corp,RM0008,Iron,Micronutrient,3.38,6664,22525,13/06/22
PO202202346,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,2.49,1442286,3591293,13/06/22
PO202203139,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,8.3,2388775,19826833,13/06/22
PO202206570,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.13,27538,31118,14/06/22
PO202200832,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,7.57,1056602,7998478,14/06/22
PO202201594,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,9.17,1224529,11228931,14/06/22
PO202202335,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,46.38,1497758,69466017,14/06/22
PO202202334,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,42.33,1442286,61051967,14/06/22
PO202206099,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.18,70960,83733,14/06/22
PO202203143,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,8.13,2388775,19420741,14/06/22
PO202208387,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,10.68,191798,2048403,14/06/22
PO202200061,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,28.58,1400800,40034864,15/06/22
PO202203145,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,3.2,2388775,7644080,15/06/22
PO202206094,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.07,70960,75928,15/06/22
PO202205426,V013,Beijing Corp,RM0009,Zinc,Micronutrient,0.98,7329,7183,15/06/22
PO202201608,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,2.8,1224529,3428682,15/06/22
PO202203138,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.79,2388775,11442233,15/06/22
PO202202338,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,19.62,1497758,29386012,15/06/22
PO202204813,V013,Beijing Corp,RM0008,Iron,Micronutrient,1.19,6664,7931,15/06/22
PO202202333,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,50.66,1386813,70255947,15/06/22
PO202204816,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.66,6664,17727,15/06/22
PO202204809,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.1,6664,13995,16/06/22
PO202200829,V001,Jubair Corp,RM0002,Urea,Nitrogen,21.44,1373583,29449620,16/06/22
PO202200045,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,31.54,1400800,44181232,16/06/22
PO202204806,V013,Beijing Corp,RM0008,Iron,Micronutrient,3.94,6664,26257,16/06/22
PO202208391,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,6.97,215773,1503938,16/06/22
PO202203838,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,2.75,1465677,4030612,16/06/22
PO202200841,V006,Navin Corp,RM0002,Urea,Nitrogen,1.25,1162262,1452828,16/06/22
PO202200839,V001,Jubair Corp,RM0002,Urea,Nitrogen,1.61,1373583,2211469,16/06/22
PO202203144,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,7.97,2388775,19038537,16/06/22
PO202207076,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.53,208217,318573,16/06/22
PO202203129,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.73,2388775,4132581,16/06/22
PO202202344,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,9.42,1442286,13586335,16/06/22
PO202208392,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,1.5,215773,323660,17/06/22
PO202208385,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,15.63,191798,2997803,17/06/22
PO202206104,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.02,70960,72380,17/06/22
PO202203130,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,3.94,2388775,9411774,17/06/22
PO202207077,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.63,208217,339394,17/06/22
PO202204819,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,4.55,9995,45478,17/06/22
PO202200060,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,20.93,1176672,24627745,18/06/22
PO202201605,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,2.46,1271627,3128203,18/06/22
PO202206093,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.34,70960,95087,18/06/22
PO202203841,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,3.25,1465677,4763451,18/06/22
PO202200056,V001,Jubair Corp,RM0001,Ammonia,Nitrogen,6.81,1456832,9921026,18/06/22
PO202200063,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,1.2,1176672,1412007,18/06/22
PO202202331,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,30.04,1386813,41659863,18/06/22
PO202203846,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,3.03,1814648,5498384,19/06/22
PO202207668,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.75,181195,317092,19/06/22
PO202201610,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,7.4,1224529,9061515,19/06/22
PO202207659,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,4.12,181195,746524,19/06/22
PO202207671,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,3.62,286097,1035672,19/06/22
PO202206562,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.87,27538,51497,19/06/22
PO202205706,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.94,99704,93722,19/06/22
PO202200834,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,19.31,1056602,20402985,19/06/22
PO202207669,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.38,181195,1156025,19/06/22
PO202207667,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,8.58,181195,1554654,19/06/22
PO202206572,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.78,27538,49018,19/06/22
PO202200848,V005,Volga Chemicals,RM0002,Urea,Nitrogen,4.18,1373583,5741577,19/06/22
PO202207073,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,3.23,208217,672541,20/06/22
PO202201602,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,3.78,1224529,4628720,20/06/22
PO202204810,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,3.96,9995,39581,20/06/22
PO202206560,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.42,27538,39104,20/06/22
PO202208388,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,10.3,215773,2222462,20/06/22
PO202202336,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,13.81,1109451,15321519,20/06/22
PO202200059,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,33.69,1120640,37754362,20/06/22
PO202200849,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,17.96,1056602,18976572,20/06/22
PO202206568,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.19,27538,32771,20/06/22
PO202200835,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,2.79,1056602,2947920,20/06/22
PO202200846,V005,Volga Chemicals,RM0002,Urea,Nitrogen,20.46,1373583,28103509,20/06/22
PO202203135,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.81,2388775,4323683,20/06/22
PO202200851,V005,Volga Chemicals,RM0002,Urea,Nitrogen,17.72,1373583,24339891,20/06/22
PO202203128,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.59,2388775,3798153,21/06/22
PO202200055,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,2.84,1176672,3341749,21/06/22
PO202206561,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.12,27538,30843,21/06/22
PO202208397,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,15.26,191798,2926838,21/06/22
PO202202330,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,46.73,1386813,64805772,21/06/22
PO202205425,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.65,10994,7147,21/06/22
PO202205422,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.76,10994,8356,21/06/22
PO202203849,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,3.72,1814648,6750491,21/06/22
PO202200844,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,5.8,1056602,6128292,21/06/22
PO202204811,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.43,6664,16194,22/06/22
PO202207664,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,9.78,181195,1772088,22/06/22
PO202207078,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.38,208217,495557,22/06/22
PO202202343,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,34.87,1497758,52226822,22/06/22
PO202203848,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,9.23,1465677,13528199,22/06/22
PO202200057,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,27.66,1176672,32546748,22/06/22
PO202202342,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,28.11,1109451,31186668,22/06/22
PO202204812,V013,Beijing Corp,RM0008,Iron,Micronutrient,5.09,6664,33920,22/06/22
PO202200053,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,17.63,1120640,19756884,22/06/22
PO202201595,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,6.25,989043,6181519,22/06/22
PO202201604,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,5.04,1271627,6409001,22/06/22
PO202204542,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.96,210508,202088,22/06/22
PO202200831,V006,Navin Corp,RM0002,Urea,Nitrogen,3.74,1162262,4346860,23/06/22
PO202200842,V005,Volga Chemicals,RM0002,Urea,Nitrogen,13.29,1373583,18254919,23/06/22
PO202200838,V005,Volga Chemicals,RM0002,Urea,Nitrogen,11.02,1373583,15136885,23/06/22
PO202207666,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,7.21,286097,2062760,23/06/22
PO202201611,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,7.48,989043,7398042,23/06/22
PO202204818,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,2.87,9995,28686,23/06/22
PO202206573,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,0.95,27538,26162,23/06/22
PO202205424,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.59,10994,6487,23/06/22
PO202205701,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.98,99704,97710,23/06/22
PO202207660,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,3.5,286097,1001340,23/06/22
PO202206095,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.38,70960,97925,23/06/22
PO202203840,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,5.73,1465677,8398330,24/06/22
PO202207670,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,4.52,286097,1293159,24/06/22
PO202207082,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.77,208217,368545,24/06/22
PO202204817,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,2.55,9995,25488,24/06/22
PO202202347,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,26.16,1386813,36279029,24/06/22
PO202204536,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.62,210508,130515,24/06/22
PO202207661,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,9.32,286097,2666425,24/06/22
PO202200048,V006,Navin Corp,RM0001,Ammonia,Nitrogen,25.16,1232704,31014833,24/06/22
PO202200047,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,7.72,1176672,9083908,24/06/22
PO202201614,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,10.14,1224529,12416725,25/06/22
PO202200845,V005,Volga Chemicals,RM0002,Urea,Nitrogen,3.45,1373583,4738862,25/06/22
PO202207658,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,2.99,286097,855431,25/06/22
PO202203141,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,6.98,2388775,16673650,25/06/22
PO202206101,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.1,70960,78056,25/06/22
PO202206105,V010,ChemTech Corp,RM0011,Boron,Micronutrient,0.98,70960,69541,25/06/22
PO202208399,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,12.22,215773,2636747,25/06/22
PO202207663,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,8.93,181195,1618072,26/06/22
PO202204537,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.66,210508,138936,26/06/22
PO202203133,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,6.32,2388775,15097058,26/06/22
PO202207657,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,2.14,181195,387758,26/06/22
PO202203132,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.06,2388775,9698427,26/06/22
PO202203136,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,8.33,2388775,19898496,26/06/22
PO202203835,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,5.24,1814648,9508756,27/06/22
PO202200828,V005,Volga Chemicals,RM0002,Urea,Nitrogen,18.09,1373583,24848117,27/06/22
PO202207088,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,0.94,208217,195724,27/06/22
PO202203852,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,0.58,1465677,850093,27/06/22
PO202207665,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.87,286097,535002,27/06/22
PO202203845,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,6.06,1814648,10996767,28/06/22
PO202201612,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,9.2,1224529,11265667,28/06/22
PO202200833,V005,Volga Chemicals,RM0002,Urea,Nitrogen,6.86,1373583,9422780,28/06/22
PO202201601,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,1.86,1271627,2365227,28/06/22
PO202201613,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,5.15,1224529,6306325,28/06/22
PO202206571,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.54,27538,42409,28/06/22
PO202207074,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.59,208217,539283,28/06/22
PO202204539,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.94,210508,197878,28/06/22
PO202204546,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.69,214596,148072,01/07/22
PO202201631,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,3.56,1248307,4443973,01/07/22
PO202201619,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,1.84,1296318,2385226,01/07/22
PO202200085,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,4.1,1428000,5854800,01/07/22
PO202202362,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,33.84,1470291,49754648,01/07/22
PO202208411,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,4.1,219962,901845,01/07/22
PO202206574,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.45,28073,40706,01/07/22
PO202203152,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,2.5,2435159,6087898,01/07/22
PO202203149,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.4,2435159,3409223,01/07/22
PO202204545,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.69,214596,148072,01/07/22
PO202200865,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,7.39,1077119,7959910,01/07/22
PO202204827,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,3.64,10189,37088,01/07/22
PO202204825,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,1.48,10189,15080,01/07/22
PO202204824,V013,Beijing Corp,RM0008,Iron,Micronutrient,1.81,6793,12296,01/07/22
PO202200858,V006,Navin Corp,RM0002,Urea,Nitrogen,5.38,1184831,6374391,01/07/22
PO202203164,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,3.87,2435159,9424066,01/07/22
PO202204543,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.63,214596,135196,01/07/22
PO202201621,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,1.57,1248307,1959842,01/07/22
PO202200080,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,13.96,1428000,19934880,02/07/22
